R,apikey,id,name,url,location,switch_to_order_menu,cuisines,average_cost_for_two,price_range,currency,offers,thumb,user_rating,photos_url,menu_url,featured_image,has_online_delivery,is_delivering_now,deeplink,has_table_booking,events_url,establishment_types
{'res_id': 4000302},7d280e0c8e0c9327cd892eac713015f6,4000302,Bangs,https://www.zomato.com/patna/bangs-kankarbagh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Shop 102-103, Highway Services Campus, Opposite Transport Nagar, New Bypass Road', 'locality': 'Kankarbagh', 'city': 'Patna', 'city_id': 40, 'latitude': '0.0000000000', 'longitude': '0.0000000000', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Kankarbagh, Patna'}",0,"American, Fast Food",600,2,Rs.,[],,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '2'}",https://www.zomato.com/patna/bangs-kankarbagh/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/bangs-kankarbagh/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/4000302,0,https://www.zomato.com/patna/bangs-kankarbagh/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000271},7d280e0c8e0c9327cd892eac713015f6,4000271,City Foods,https://www.zomato.com/CItyFoods?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'B-2, Shiv Laxmi Plaza, Opposite Rajendra Nagar Terminal, Main Road, Kankarbagh, Patna', 'locality': 'Kankarbagh', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6020887557', 'longitude': '85.1614887223', 'zipcode': '800020', 'country_id': 1, 'locality_verbose': 'Kankarbagh, Patna'}",0,"North Indian, Chinese",400,2,Rs.,[],,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '1'}",https://www.zomato.com/CItyFoods/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/CItyFoods/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/4000271,0,https://www.zomato.com/CItyFoods/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000177},7d280e0c8e0c9327cd892eac713015f6,4000177,Rozy Sweets & Snacks,https://www.zomato.com/patna/rozy-sweets-snacks-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Nala Road, Kadam Kuan, R.K. Avenue, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6120750000', 'longitude': '85.1513833333', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,Desserts,100,1,Rs.,[],https://b.zmtcdn.com/data/pictures/7/4000177/2641363451b2827a2c8f6ce25ce33657_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '2'}",https://www.zomato.com/patna/rozy-sweets-snacks-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/rozy-sweets-snacks-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/7/4000177/2641363451b2827a2c8f6ce25ce33657_featured_v2.jpg,0,0,zomato://restaurant/4000177,0,https://www.zomato.com/patna/rozy-sweets-snacks-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000347},7d280e0c8e0c9327cd892eac713015f6,4000347,Bawarchi,https://www.zomato.com/patna/bawarchi-kankarbagh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '5 MIGH, Kankarbagh Colony More, Kankarbagh, Patna', 'locality': 'Kankarbagh', 'city': 'Patna', 'city_id': 40, 'latitude': '0.0000000000', 'longitude': '0.0000000000', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Kankarbagh, Patna'}",0,"North Indian, Chinese",600,2,Rs.,[],,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '1'}",https://www.zomato.com/patna/bawarchi-kankarbagh/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/bawarchi-kankarbagh/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/4000347,0,https://www.zomato.com/patna/bawarchi-kankarbagh/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000212},7d280e0c8e0c9327cd892eac713015f6,4000212,Gokul,https://www.zomato.com/patna/gokul-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'The Premiere Square Building, East Gandhi Maidan, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6176916667', 'longitude': '85.1483777778', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,Desserts,100,1,Rs.,[],https://b.zmtcdn.com/data/pictures/2/4000212/7bed7d1e0be1e66d3729dc0294122e98_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '2'}",https://www.zomato.com/patna/gokul-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/gokul-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/2/4000212/7bed7d1e0be1e66d3729dc0294122e98_featured_v2.jpg,0,0,zomato://restaurant/4000212,0,https://www.zomato.com/patna/gokul-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000179},7d280e0c8e0c9327cd892eac713015f6,4000179,Brijwasi Mithaiwala,https://www.zomato.com/patna/brijwasi-mithaiwala-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Below Rajeswar Plaza, Baripath, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6148166667', 'longitude': '85.1543111111', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,Desserts,100,1,Rs.,[],https://b.zmtcdn.com/data/pictures/9/4000179/4a5e05d1456ed85dcb280c4db5e5794f_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '1'}",https://www.zomato.com/patna/brijwasi-mithaiwala-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/brijwasi-mithaiwala-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/9/4000179/4a5e05d1456ed85dcb280c4db5e5794f_featured_v2.jpg,0,0,zomato://restaurant/4000179,0,https://www.zomato.com/patna/brijwasi-mithaiwala-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000219},7d280e0c8e0c9327cd892eac713015f6,4000219,Galverch Bar - Hotel Gargee Grand,https://www.zomato.com/patna/galverch-bar-hotel-gargee-grand-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Hotel Gargee Grand, Plot Number 825, Exhibition Road, Golambar, Patna', 'locality': 'Hotel Gargee Grand, Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6129277778', 'longitude': '85.1434388889', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Hotel Gargee Grand, Golambar, Patna'}",0,Finger Food,1000,3,Rs.,[],https://b.zmtcdn.com/data/pictures/9/4000219/2219d2aa733cbd3902cc78ba8ce0dd1a_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '0'}",https://www.zomato.com/patna/galverch-bar-hotel-gargee-grand-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/galverch-bar-hotel-gargee-grand-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/9/4000219/2219d2aa733cbd3902cc78ba8ce0dd1a_featured_v2.jpg,0,0,zomato://restaurant/4000219,0,https://www.zomato.com/patna/galverch-bar-hotel-gargee-grand-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000298},7d280e0c8e0c9327cd892eac713015f6,4000298,Food & Fun,https://www.zomato.com/patna/food-fun-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Jamal Road, Opposite Jagatarni Tower', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '0.0000000000', 'longitude': '0.0000000000', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,"North Indian, Chinese, Mughlai",450,2,Rs.,[],,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '1'}",https://www.zomato.com/patna/food-fun-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/food-fun-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/4000298,0,https://www.zomato.com/patna/food-fun-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 4000195},7d280e0c8e0c9327cd892eac713015f6,4000195,Chandan Hotel,https://www.zomato.com/patna/chandan-hotel-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Beside ICICI Bank, Exhibition Road, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '25.6111722222', 'longitude': '85.1429833333', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,North Indian,300,1,Rs.,[],https://b.zmtcdn.com/data/pictures/5/4000195/836d20c534362912a0b87d5d48725863_featured_v2.jpg,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '1'}",https://www.zomato.com/patna/chandan-hotel-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/chandan-hotel-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/5/4000195/836d20c534362912a0b87d5d48725863_featured_v2.jpg,0,0,zomato://restaurant/4000195,0,https://www.zomato.com/patna/chandan-hotel-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 18252410},7d280e0c8e0c9327cd892eac713015f6,18252410,Metro Mirchi,https://www.zomato.com/patna/metro-mirchi-golambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Khazanchi Road, Near Dr. Niraz Sinha Clinic, Golambar, Patna', 'locality': 'Golambar', 'city': 'Patna', 'city_id': 40, 'latitude': '0.0000000000', 'longitude': '0.0000000000', 'zipcode': '', 'country_id': 1, 'locality_verbose': 'Golambar, Patna'}",0,North Indian,0,1,Rs.,[],,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '1'}",https://www.zomato.com/patna/metro-mirchi-golambar/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/patna/metro-mirchi-golambar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/18252410,0,https://www.zomato.com/patna/metro-mirchi-golambar/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
